asd
bale1,-2390,2280,550,795
bale2,-4227,3602,550,795
bale3,-4337,6630,550,795
bale4,-5895,5302,550,795
bale5,-9130,1766,550,795
bale6,-13030,3861,550,795
bale7,-14578,2515,550,795
bale8,-14700,5530,550,795
bale9,-10715,6769,550,795
bale10,-16557,6863,550,795
trbale1,-4207,-4916,550,795
trbale2,-5773,-6274,550,795
trbale2,-5883,-3228,550,795
trbale2,-7742,-1906,550,795
trbale2,-9773,-4170,550,795
trbale2,-11814,-6360,550,795
trbale2,-13661,-5026,550,795
trbale2,-15362,-3350,550,795
trbale2,-13783,-2016,550,795
blbale1,-21620,3634,795,550
blbale1,-22943,5212,795,550
blbale1,-24634,3533,795,550
blbale1,-25956,1698,795,550
blbale1,-28514,4220,795,550
blbale1,-31470,5201,795,550
blbale1,-33168,3518,795,550
blbale1,-34490,5085,795,550
blbale1,-30145,7055,795,550
bbHbale2,-24635,-7712,550,795
bbHbale2,-25820,-4465,550,795
bbWbale1,-24522,-5922,795,550
bbWbale1,-29820,-3480,795,550
bbWbale1,-32510,-2620,795,550
bbWbale1,-36580,-2222,795,550
sidewall,658,225,300,20000
sidewall,-39050,225,300,20000
botwall,-19205,8690,40000,300
botwall,-19205,-8686,40000,300
