map3
topwall,6293,-1091,20000,100
botwall,6293,5265,20000,100
spawnleft,-855,140,50,2380
spawnbot,-183,1363,1376,306
spawnbot,740,1390,670,200
spawnbot,1785,1390,800,200
spawnright,2067,900,200,820
spawnright,2067,60,200,425
spawnright,2067,-710,200,655
fuckyou,2930,685,710,1300
fuckyou,2370,995,450,650
fuckyou,470,3340,800,3850
fuckyou,1705,3085,700,810
fuckyou,2350,3570,1570,110
fuckyou,4265,-270,1040,300
fuckyou,4365,306,800,240
fuckyou,5600,90,570,530
fuckyou,5715,890,800,1100
fuckyou,4380,1900,790,1880
fuckyou,3500,2460,1270,800
fuckyou,4990,3550,430,760
fuckyou,3950,3651,830,400
fuckyou,2580,4335,390,905
fuckyou,4630,4440,550,260
fuckyou,6315,-845,935,550
fuckyou,5855,2980,1575,1615
fuckyou,7050,1325,600,620
fuckyou,8685,585,1655,1640
fuckyou,7525,4615,510,515
fuckyou,7870,3125,1075,1850
fuckyou,8556,2470,300,550
fuckyou, 9675,3395,1950,800
fuckyou,10830,3220,350,600,
fuckyou,9200,4570,275,600
fuckyou,10375,1505,530,1200
fuckyou,10950,1710,600,800
fuckyou,11330,4959,660,675
fuckyou,12900,4300,1100,2125
wallright,13454,990,275,4900
fuckyou,11080,-560,1200,470
